Name,Disc.Y,Disc.M,Disc.D,r_Disc.D,RAh,RAm,RAs,DE-,DEd,DEm,DEs,f_DEs,Obs,tFirst,tLast,tNext,z,r_z,Dist,e_Dist,r_Dist,VExt
SDSS-II SN 13908,2006,09,17,2007SDSS6.C...0000:,01,03,39.786,+,00,17,42.71,,10,-1076,406,385,0.02395,2012ApJ...755...61S,1023,72,2010ApJ...713.1026D,0.10099999999999999
SDSS-II SN 13909,2006,09,17,2007SDSS6.C...0000:,01,05,40.87,+,00,18,43.3,,8,-1076,406,385,0.293,2010ApJ...713.1026D,1250,88,2010ApJ...713.1026D,0.08199999999999999
SDSS-II SN 1403,2005,09,09,2007SDSS6.C...0000:,23,58,48.919,+,00,25,55.04,,6,-689,791,409,0.341,2010ApJ...713.1026D,1455,102,2010ApJ...713.1026D,0.092
SDSS-II SN 14046,2006,11,11,2007SDSS6.C...0000:,23,24,46.08,+,00,11,00.8,,136,-1173,1079,295,0.47443,2016SDSSD.C...0000:,2027,142,2016SDSSD.C...0000:,0.11800000000000001
SDSS-II SN 14074,2006,09,27,2010ApJ...713.1026D,22,48,30.245,-,00,49,30.84,,9,-14,1771,11,0.288,2011ApJ...738..162S,1228,86,2011ApJ...738..162S,0.255
SDSS-II SN 14093,2006,09,17,2007SDSS6.C...0000:,01,46,09.434,-,01,03,22.62,,6,-713,763,764,0.427,2010ApJ...713.1026D,1825,128,2010ApJ...713.1026D,0.09300000000000001
SDSS-II SN 14113,2006,09,16,2007SDSS6.C...0000:,01,53,46.676,-,00,49,06.06,,14,-712,765,765,0.216,2011ApJ...738..162S,921,65,2011ApJ...738..162S,0.08800000000000001
SDSS-II SN 14137,2006,09,16,2007SDSS6.C...0000:,03,46,04.608,-,00,24,02.6604,,4,-1020,812,813,0.31165,2016SDSSD.C...0000:,1333,93,2016SDSSD.C...0000:,0.503
SDSS-II SN 1415,2005,09,14,2007SDSS6.C...0000:,00,24,25.555,+,00,35,57.51,,57,-740,1496,755,0.21199,2003SDSS1.C...0000:,903,63,2003SDSS1.C...0000:,0.062
SDSS-II SN 14205,2006,09,11,2007SDSS6.C...0000:,01,08,45.768,+,00,44,00.5532,,12,-1070,1478,378,0.25367,2016SDSSD.C...0000:,1082,76,2016SDSSD.C...0000:,0.073
SDSS-II SN 14231,2006,09,30,2010ApJ...713.1026D,03,50,35.936,+,00,47,15.36,,7,-1034,1155,808,0.129,2011ApJ...738..162S,551,39,2011ApJ...738..162S,0.539
