file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
PSc010178-NUV.fits.gz,PSc010178,NUV,163.1627083333333,56.97707222222223,81,2004-01-31,2008-05-11,2010-02-03,81,0,-2194.0,-632.0,
PSc010191-FUV.fits.gz,PSc010191,FUV,164.3623291666667,58.065,25,2005-02-26,2008-05-11,2010-02-06,25,0,-1806.0,-635.0,
PSc010191-NUV.fits.gz,PSc010191,NUV,164.3623291666667,58.065,44,2005-01-16,2008-05-11,2010-02-06,44,0,-1846.0,-635.0,
PSc010196-FUV.fits.gz,PSc010196,FUV,184.2066708333333,46.23509166666667,10,2008-02-13,2008-05-18,2010-02-15,10,0,-733.0,-638.0,
PSc010196-NUV.fits.gz,PSc010196,NUV,184.2066708333333,46.23509166666667,10,2008-02-13,2008-05-18,2010-02-15,10,0,-733.0,-638.0,
PSc010218-FUV.fits.gz,PSc010218,FUV,148.6352916666667,1.943755555555556,14,2008-01-14,2008-03-25,2010-02-09,14,0,-756.0,-686.0,
PSc010218-NUV.fits.gz,PSc010218,NUV,148.6352916666667,1.943755555555556,33,2008-01-14,2011-02-16,2010-02-09,17,16,-756.0,372.0,1.0
PSc010222-FUV.fits.gz,PSc010222,FUV,184.23665,47.28935277777778,9,2008-02-20,2009-04-27,2010-02-03,9,0,-714.0,-282.0,
PSc010222-NUV.fits.gz,PSc010222,NUV,184.23665,47.28935277777778,11,2005-03-18,2009-04-27,2010-02-03,11,0,-1782.0,-282.0,
PSc010230-FUV.fits.gz,PSc010230,FUV,185.2950625,47.80373055555555,10,2007-02-26,2008-05-18,2010-02-07,10,0,-1076.0,-629.0,
PSc010230-NUV.fits.gz,PSc010230,NUV,185.2950625,47.80373055555555,10,2007-02-26,2008-05-18,2010-02-07,10,0,-1076.0,-629.0,
PSc010430-FUV.fits.gz,PSc010430,FUV,131.3040083333333,43.87685555555556,11,2004-01-16,2008-03-24,2010-02-21,11,0,-2228.0,-699.0,
PSc010430-NUV.fits.gz,PSc010430,NUV,131.3040083333333,43.87685555555556,12,2004-01-16,2008-03-24,2010-02-21,12,0,-2228.0,-699.0,
PSc020026-FUV.fits.gz,PSc020026,FUV,183.8033416666667,46.04455555555555,10,2008-02-13,2008-05-18,2010-03-09,10,0,-755.0,-660.0,
PSc020026-NUV.fits.gz,PSc020026,NUV,183.8033416666667,46.04455555555555,10,2008-02-13,2008-05-18,2010-03-09,10,0,-755.0,-660.0,
PSc020033-FUV.fits.gz,PSc020033,FUV,184.2666208333333,46.07298888888889,14,2005-03-01,2009-04-26,2010-03-03,14,0,-1828.0,-311.0,
PSc020033-NUV.fits.gz,PSc020033,NUV,184.2666208333333,46.07298888888889,16,2005-03-01,2009-04-26,2010-03-03,16,0,-1828.0,-311.0,
PSc020034-FUV.fits.gz,PSc020034,FUV,184.5505208333333,46.08620833333334,15,2004-03-25,2009-04-26,2010-03-03,15,0,-2168.0,-311.0,
PSc020034-NUV.fits.gz,PSc020034,NUV,184.5505208333333,46.08620833333334,18,2004-03-25,2009-04-26,2010-03-03,18,0,-2168.0,-311.0,
PSc020047-FUV.fits.gz,PSc020047,FUV,149.2351583333333,1.613833333333333,17,2006-02-03,2008-03-25,2010-03-09,17,0,-1494.0,-714.0,
PSc020047-NUV.fits.gz,PSc020047,NUV,149.2351583333333,1.613833333333333,38,2005-03-13,2011-02-16,2010-03-09,29,9,-1821.0,345.0,329.0
PSc020104-FUV.fits.gz,PSc020104,FUV,149.6532208333333,2.293805555555556,132,2004-02-10,2008-03-25,2010-03-09,132,0,-2219.0,-714.0,
PSc020104-NUV.fits.gz,PSc020104,NUV,149.6532208333333,2.293805555555556,176,2004-02-10,2011-03-09,2010-03-09,165,11,-2219.0,365.0,329.0
PSc020123-FUV.fits.gz,PSc020123,FUV,185.6066666666667,48.04129166666667,10,2007-02-26,2008-05-18,2010-02-22,10,0,-1091.0,-644.0,
PSc020123-NUV.fits.gz,PSc020123,NUV,185.6066666666667,48.04129166666667,10,2007-02-26,2008-05-18,2010-02-22,10,0,-1091.0,-644.0,
PSc020148-FUV.fits.gz,PSc020148,FUV,159.5915708333333,57.39008055555556,13,2005-02-25,2008-03-19,2010-02-19,13,0,-1819.0,-701.0,
PSc020148-NUV.fits.gz,PSc020148,NUV,159.5915708333333,57.39008055555556,27,2005-01-15,2008-03-19,2010-02-19,27,0,-1860.0,-701.0,
PSc020194-FUV.fits.gz,PSc020194,FUV,149.6450416666667,0.8311361111111111,19,2006-02-03,2008-03-25,2010-03-12,19,0,-1497.0,-717.0,
PSc020194-NUV.fits.gz,PSc020194,NUV,149.6450416666667,0.8311361111111111,41,2005-03-13,2011-03-20,2010-03-12,31,10,-1824.0,374.0,326.0
PSc020198-FUV.fits.gz,PSc020198,FUV,161.7189,57.12930833333333,16,2006-01-12,2008-05-11,2010-03-20,16,0,-1528.0,-677.0,
PSc020198-NUV.fits.gz,PSc020198,NUV,161.7189,57.12930833333333,16,2006-01-12,2008-05-11,2010-03-20,16,0,-1528.0,-677.0,
PSc030005-FUV.fits.gz,PSc030005,FUV,186.3475541666667,47.48643333333334,11,2005-03-03,2008-05-18,2010-03-17,11,0,-1839.0,-668.0,
PSc030005-NUV.fits.gz,PSc030005,NUV,186.3475541666667,47.48643333333334,12,2005-03-03,2008-05-18,2010-03-17,12,0,-1839.0,-668.0,
PSc030007-FUV.fits.gz,PSc030007,FUV,212.3485458333333,53.6186,4,2009-05-04,2009-05-14,2010-03-25,4,0,-324.0,-314.0,
PSc030007-NUV.fits.gz,PSc030007,NUV,212.3485458333333,53.6186,18,2009-05-04,2011-03-14,2010-03-25,12,6,-324.0,355.0,32.0
PSc030068-FUV.fits.gz,PSc030068,FUV,183.6662708333333,48.08940555555556,9,2005-03-01,2008-05-18,2010-04-02,9,0,-1857.0,-684.0,
PSc030068-NUV.fits.gz,PSc030068,NUV,183.6662708333333,48.08940555555556,10,2005-03-01,2008-05-18,2010-04-02,10,0,-1857.0,-684.0,
PSc030216-FUV.fits.gz,PSc030216,FUV,213.7357208333333,54.21148888888889,4,2009-05-04,2009-05-14,2010-04-12,4,0,-342.0,-332.0,
PSc030216-NUV.fits.gz,PSc030216,NUV,213.7357208333333,54.21148888888889,18,2009-05-04,2011-03-14,2010-04-12,12,6,-342.0,337.0,14.0
PSc030245-FUV.fits.gz,PSc030245,FUV,186.5360166666667,46.51467222222222,3,2005-03-03,2007-03-05,2010-03-21,3,0,-1843.0,-1112.0,
PSc030245-NUV.fits.gz,PSc030245,NUV,186.5360166666667,46.51467222222222,4,2005-03-03,2007-03-05,2010-03-21,4,0,-1843.0,-1112.0,
PSc030252-FUV.fits.gz,PSc030252,FUV,184.3707125,48.0939,9,2005-03-01,2008-05-18,2010-04-17,9,0,-1872.0,-699.0,
