name,SDSS,ESSENCE,PanSTARRS,PanSTARRS2,SNLS,rochester,Nspec,OSC,manual,total
SDSS-II SN 16136,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16148,0.998,0,0,0,0,0,0,1,0,0.998
SDSS-II SN 16153,0.972,0,0,0,0,0,0,1,0,0.972
SDSS-II SN 16163,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16172,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16199,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16220,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16237,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16238,0.99,0,0,0,0,0,0,1,0,0.99
SDSS-II SN 16301,0.996,0,0,0,0,0,0,1,0,0.996
SDSS-II SN 16302,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16405,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 16410,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16431,0.884,0,0,0,0,0,0,1,0,0.884
SDSS-II SN 16433,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16434,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 16451,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16455,-1,0,0,0,0,0,0,1,0,-1
SDSS-II SN 16458,0.785,0,0,0,0,0,0,1,0,0.785
SDSS-II SN 16460,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16462,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16467,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16468,0.998,0,0,0,0,0,0,1,0,0.998
SDSS-II SN 16472,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16477,0.697,0,0,0,0,0,0,1,0,0.697
SDSS-II SN 1650,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 16547,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 16551,0.765,0,0,0,0,0,0,1,0,0.765
SDSS-II SN 16565,0,0,0,0,0,0,0,1,-1,-1
SDSS-II SN 16582,0.999,0,0,0,0,0,0,1,0,0.999
SDSS-II SN 16586,0.956,0,0,0,0,0,0,1,0,0.956
SDSS-II SN 16626,0.982,0,0,0,0,0,0,1,0,0.982
SDSS-II SN 16652,0.803,0,0,0,0,0,0,1,0,0.803
SDSS-II SN 16721,0.995,0,0,0,0,0,0,1,0,0.995
SDSS-II SN 16831,0.809,0,0,0,0,0,0,1,0,0.809
SDSS-II SN 1686,0.5,0,0,0,0,0,0,1,0,0.5
SDSS-II SN 16878,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 16879,0.944,0,0,0,0,0,0,1,0,0.944
SDSS-II SN 16937,-1,0,0,0,0,0,0,-1,0,-1
SDSS-II SN 16940,0.924,0,0,0,0,0,0,1,0,0.924
SDSS-II SN 16946,0.858,0,0,0,0,0,0,1,0,0.858
SDSS-II SN 16975,0.998,0,0,0,0,0,0,1,0,0.998
SDSS-II SN 16976,0.854,0,0,0,0,0,0,-1,0,0.854
SDSS-II SN 17068,0.815,0,0,0,0,0,0,1,0,0.815
SDSS-II SN 17169,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17191,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17205,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17206,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17219,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17337,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17372,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17395,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 1740,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17421,1,0,0,0,0,0,0,1,0,1
SDSS-II SN 17423,1,0,0,0,0,0,0,1,0,1
